Name;Hiring;long;lat
Autodesk;Hiring;-117.88100;34.10960
Berkshire Hathaway;Hiring;-95.93450;41.25654
Boeing;Hiring;-87.62980;41.87811
Bridgepoint Consulting;Hiring;-97.80027;32.94185
Calvin Klein;Hiring;-75.00597;40.71278
Chevron;Hiring;-120.95396;37.76436
Citi Bank;Hiring;-76.00597;40.71278
Costco;Hiring;-122.03262;47.53010
Electronic Arts;Hiring;-122.23635;37.48522
Fannie Mae;Hiring;-78.03687;38.90719
FTI Consulting;Hiring;-77.03687;38.90719
GE;Hiring;-71.05888;42.36008
GM;Hiring;-83.04575;42.33143
HBO Max;Hiring;-74.00597;41.71278
Kroger;Hiring;-84.51202;39.10312
McKesson;Hiring;-96.74889;32.81402
Netflix;Hiring;-121.42387;37.23581
UnitedHealth;Hiring;-93.46875;44.92118
XPO Logistics;Hiring;-73.62820;41.02624
CVS Health;Hiring;-71.51478;42.00288