country,country_code,num_pop,latitude,longitude,population,num
Afghanistan,AFG,0.284,33,66,34656032,9842
Angola,AGO,0.2149,-12.5,18.5,28813463,6192
Albania,ALB,1.1998,41,20,2876101,3450
Andorra,AND,3.3333,42.5,1.5,77281,257
United Arab Emirates,ARE,2.3944,24,54,9269612,22195
Argentina,ARG,3.96,-34,-64,43847430,173635
Armenia,ARM,2.899,40,45,2924816,8479
Antigua and Barbuda,ATG,2.7647,17.05,-61.8,100963,279
Australia,AUS,3.5874,-25,135,24127159,86553
Austria,AUT,5.1441,47.333333,13.333333,8747358,44997
Azerbaijan,AZE,3.4466,40.5,47.5,9762274,33646
Burundi,BDI,0.05,-3.5,30,10524117,526
Belgium,BEL,3.3234,50.833333,4,11348159,37714
Benin,BEN,0.1572,9.5,2.25,10872298,1709
Burkina Faso,BFA,0.06,13,-2,18646433,1118
Bangladesh,BGD,0.5268,24,90,162951560,85842
Bulgaria,BGR,3.9879,43,25,7127822,28425
Bahrain,BHR,0.9257,26,50.5,1425171,1319
Bosnia and Herzegovina,BIH,2.0003,44.25,17.833333,3516816,7034
Belarus,BLR,4.0772,53,28,9507120,38762
Belize,BLZ,1.1262,17.25,-88.75,366954,413
Bolivia,BOL,1.6111,-17,-65,10887882,17541
Brazil,BRA,2.1499,-10,-55,207652865,446432
Barbados,BRB,2.4886,13.166667,-59.533333,284996,709
Brunei Darussalam,BRN,1.7701,4.5,114.666667,423196,749
Bhutan,BTN,0.3715,27.5,90.5,797765,296
Botswana,BWA,0.3688,-22,24,2250260,829
Central African Republic,CAF,0.0629,7,21,4594621,289
Canada,CAN,2.6102,60,-96,36286425,94714
Switzerland,CHE,4.2363,47,8,8372098,35466
Chile,CHL,1.08,-30,-71,17909754,19342
China,CHN,1.7855,30.596069,114.297691,1378665000,2461606
Cameroon,CMR,0.0898,6,12,23439189,2104
Colombia,COL,2.0835,4,72,48653419,101369
Comoros,COM,0.1699,-12.166667,44.25,795601,135
Cabo Verde,CPV,0.7694,16,-24,539560,415
Costa Rica,CRI,1.1497,10,-84,4857274,5584
Cuba,CUB,8.19,22,-79.5,11475982,93988
Cyprus,CYP,1.9511,35,33,1170125,2283
Czech Republic,CZE,4.314,49.75,15,10561633,45562
Germany,DEU,4.2087,51.5,10.5,82667685,347923
Djibouti,DJI,0.2203,11.5,42.5,942333,207
Dominica,DMA,1.0825,15.5,-61.333333,73543,79
Denmark,DNK,4.4567,56,10,5731118,25541
Dominican Republic,DOM,1.56,19,-70.666667,10648791,16612
Algeria,DZA,1.83,28,3,40606052,74309
Ecuador,ECU,2.05,-2,-77.5,16385068,33589
Spain,ESP,4.0691,40,-4,46443959,188985
Estonia,EST,3.4651,59,26,1316481,4561
Ethiopia,ETH,0.1,8,38,102403196,10240
Finland,FIN,3.808,64,26,5495096,20925
Fiji,FJI,0.8374,-18,178,898760,752
France,FRA,3.2349,46,2,66896109,216402
Gabon,GAB,0.3611,-1,11.75,1979786,714
United Kingdom,GBR,2.8058,54,-4,65637239,184164
Georgia,GEO,5.0976,41.999981,43.499905,3719300,18959
Ghana,GHA,0.18,8,-2,28206728,5077
Guinea,GIN,0.0788,11,-10,12395924,976
Guinea-Bissau,GNB,0.2,12,-15,1815698,363
Equatorial Guinea,GNQ,0.4,2,10,1221490,488
Greece,GRC,4.592,39,22,10746740,49349
Grenada,GRD,1.4471,12.116667,-61.666667,107317,155
Guatemala,GTM,0.355,15.5,-90.25,16582469,5886
Guyana,GUY,0.799,5,-59,773303,617
Honduras,HND,0.3144,15,-86.5,9112867,2865
Croatia,HRV,2.9962,45.166667,15.5,4170600,12495
Haiti,HTI,0.2345,19,-72.416667,10847334,2543
Hungary,HUN,3.2312,47,20,9817958,31723
Indonesia,IDN,0.3777,-5,120,261115456,98623
India,IND,0.7776,20,77,1324171354,1029675
Ireland,IRL,3.0861,53,-8,4773095,14730
Iraq,IRQ,0.8217,33,44,37202572,30569
Iceland,ISL,3.9701,65,-18,334252,1327
Israel,ISR,3.2176,31.5,34.75,8547100,27501
Italy,ITA,4.0931,42.833333,12.833333,60600590,248044
Jamaica,JAM,1.3199,18.25,-77.5,2881355,3803
Jordan,JOR,2.3436,31,36,9455802,22160
Japan,JPN,2.4118,36,138,126994511,306285
Kazakhstan,KAZ,3.2522,48,68,17797032,57879
Kenya,KEN,0.1988,1,38,48461567,9634
Cambodia,KHM,0.1682,13,105,15762370,2651
Kiribati,KIR,0.2028,-5,-170,114395,23
Kuwait,KWT,2.5789,29.5,47.75,4052584,10451
Lebanon,LBN,2.271,33.833333,35.833333,6006668,13641
Liberia,LBR,0.0373,6.5,9.5,4613823,172
Libya,LBY,2.1581,25,17,6293253,13581
Sri Lanka,LKA,0.958,7,81,21203000,20312
Lesotho,LSO,0.0676,-29.5,28.25,2203821,148
Lithuania,LTU,4.337,56,24,2872298,12457
Luxembourg,LUX,3.0266,49.75,6.166667,582972,1764
Latvia,LVA,3.1946,57,25,1960424,6262
Morocco,MAR,0.7273,32,-5,35276786,25656
Monaco,MCO,6.5617,43.733333,7.4,38499,252
Madagascar,MDG,0.1812,-20,47,24894551,4510
Maldives,MDV,1.0379,3.2,73,417492,433
Mexico,MEX,2.2478,23,-102,127540423,286685
Marshall Islands,MHL,0.4554,10,167,53066,24
Mali,MLI,0.1393,17,-4,17994837,2506
Malta,MLT,3.826,35.916667,14.433333,436947,1671
Myanmar,MMR,0.864,22,98,52885223,45692
Montenegro,MNE,2.3337,42.5,19.3,622781,1453
Mongolia,MNG,2.8866,46,105,3027398,8738
Mozambique,MOZ,0.0735,-18.25,35,28829476,2118
Mauritania,MRT,0.179,20,-12,4301018,769
Mauritius,MUS,2.0246,-20.3,57.583333,1263473,2558
Malawi,MWI,0.0157,-13.5,34,18091575,284
Malaysia,MYS,1.5132,2.5,112.5,31187265,47192
Namibia,NAM,0.374,-22,17,2479713,927
Niger,NER,0.05,16,8,20672987,1033
Nigeria,NGA,0.3827,10,8,185989640,71178
Nicaragua,NIC,1.0056,13,-85,6149928,6184
Netherlands,NLD,3.5067,52.5,5.75,17018408,59678
Norway,NOR,4.6336,62,10,5232929,24247
Nepal,NPL,0.6507,28,84,28982771,18859
Nauru,NRU,1.2389,-0.533333,166.916667,13049,16
New Zealand,NZL,3.0252,-42,174,4692700,14196
Oman,OMN,1.9697,21,57,4424762,8715
Pakistan,PAK,0.9753,30,70,193203476,188431
Panama,PAN,1.5699,9,-80,4034119,6333
Peru,PER,1.27,-10,-76,31773839,40352
Philippines,PHL,1.275,13,122,103320222,131733
Palau,PLW,1.1848,6,134,21503,25
Papua New Guinea,PNG,0.0529,-6,147,8084991,427
Poland,POL,2.3998,52,20,37948016,91067
Portugal,PRT,3.3356,39.5,-8,10324611,34438
Paraguay,PRY,1.366,-22.993333,-57.996389,6725308,9186
Qatar,QAT,0.0008,25.5,51.25,2569804,2
Romania,ROU,2.2586,46,25,19705301,44506
Russian Federation,RUS,4.0139,60,100,144342396,579375
Rwanda,RWA,0.1346,-2,30,11917508,1604
Saudi Arabia,SAU,2.39,25,45,32275687,77138
Sudan,SDN,0.41,16,30,39578828,16227
Senegal,SEN,0.0692,14,-14,15411614,1066
Singapore,SGP,2.3063,1.366667,103.8,5607283,12932
Solomon Islands,SLB,0.1999,-8,159,599419,119
Sierra Leone,SLE,0.025,8.5,-11.5,7396190,184
El Salvador,SLV,1.569,13.833333,-88.916667,6344722,9954
San Marino,SMR,6.1468,43.933333,12.416667,33203,204
Somalia,SOM,0.0229,6,48,14317996,327
Serbia,SRB,3.125,44,21,7057412,22054
Sao Tome and Principe,STP,0.32,1,7,199910,63
Suriname,SUR,1.2265,4,-56,558368,684
Slovenia,SVN,2.9953,46.25,15.166667,2064845,6184
Sweden,SWE,5.3996,62,15,9903122,53472
Seychelles,SYC,0.9458,-4.583333,55.666667,94677,89
Syrian Arab Republic,SYR,1.22,35,38,18430453,22485
Chad,TCD,0.0475,15,19,14452543,686
Togo,TGO,0.0487,8,1.166667,7606374,370
Thailand,THA,0.8096,15,100,68863514,55751
Tajikistan,TJK,1.7003,39,71,8734951,14852
Turkmenistan,TKM,2.2248,40,60,5662544,12598
Timor-Leste,TLS,0.7197,-8.833333,125.75,1268671,913
Tonga,TON,0.5223,-20,-175,107122,55
Trinidad and Tobago,TTO,2.6697,11,-61,1364962,3644
Tunisia,TUN,1.2722,34,9,11403248,14507
Turkey,TUR,1.7605,39.059012,34.911546,79512426,139981
Tuvalu,TUV,0.9174,-8,178,11097,10
Tanzania,TZA,0.0399,-6,35,55572201,2217
Uganda,UGA,0.0908,2,33,41487965,3767
Ukraine,UKR,3.0075,49,32,45004645,135351
Uruguay,URY,5.0499,-33,-56,3444006,17391
United States of America,USA,2.5948,39.828175,-98.5795,323127513,838451
Uzbekistan,UZB,2.3685,41.707542,63.84911,31848200,75432
Vietnam,VNM,0.8199,16.166667,107.833333,92701100,76005
Vanuatu,VUT,0.1706,-16,167,270402,46
Samoa,WSM,0.3409,-13.803096,-172.178309,195125,66
South Africa,ZAF,0.9101,-30,26,55908865,50882
Zambia,ZMB,0.0913,-15,30,16591390,1514
Zimbabwe,ZWE,0.0763,-19,29,16150362,1232
